timestamp,device_type,energy_consumption_wh,active_time_minutes
2023-01-01 00:00:00,laptop,62.335615281816494,52
2023-01-01 01:00:00,laptop,70.78959585126607,26
2023-01-01 02:00:00,laptop,63.04651707586493,42
2023-01-01 03:00:00,laptop,64.02031971383757,41
2023-01-01 04:00:00,laptop,86.1023276694734,12
2023-01-01 05:00:00,laptop,77.83539658861963,15
2023-01-01 06:00:00,laptop,87.36605127973041,53
2023-01-01 07:00:00,laptop,87.01284495839538,37
2023-01-01 08:00:00,laptop,89.306395768615,22
2023-01-01 09:00:00,laptop,81.5329575320116,21
2023-01-01 10:00:00,laptop,68.37910202290396,20
2023-01-01 11:00:00,laptop,62.1969236233644,34
2023-01-01 12:00:00,laptop,61.04041746602042,40
2023-01-01 13:00:00,laptop,50.303985593362874,19
2023-01-01 14:00:00,laptop,46.654356777474725,38
2023-01-01 15:00:00,laptop,37.92353194070329,37
2023-01-01 16:00:00,laptop,39.78580886450987,51
2023-01-01 17:00:00,laptop,27.11888892541593,45
2023-01-01 18:00:00,laptop,27.736005291803217,34
2023-01-01 19:00:00,laptop,20.22534084831473,48
2023-01-01 20:00:00,laptop,33.66458834801214,56
2023-01-01 21:00:00,laptop,34.340579507987854,26
2023-01-01 22:00:00,laptop,43.88333465550072,51
2023-01-01 23:00:00,laptop,56.28026043978303,23
2023-01-02 00:00:00,laptop,52.60445562774275,7
2023-01-02 01:00:00,laptop,61.84320526466034,39
2023-01-02 02:00:00,laptop,77.25491474055197,9
2023-01-02 03:00:00,laptop,76.45674921960584,59
2023-01-02 04:00:00,laptop,79.83132310900623,28
2023-01-02 05:00:00,laptop,88.78970500168253,52
2023-01-02 06:00:00,laptop,83.8480483941991,24
2023-01-02 07:00:00,laptop,88.68651546868948,4
2023-01-02 08:00:00,laptop,84.84301120498303,40
2023-01-02 09:00:00,laptop,71.04491143464995,39
2023-01-02 10:00:00,laptop,71.64748627307681,5
2023-01-02 11:00:00,laptop,73.7735032911122,40
2023-01-02 12:00:00,laptop,62.37496498813831,49
2023-01-02 13:00:00,laptop,54.232060518408495,58
2023-01-02 14:00:00,laptop,46.056842579500874,28
2023-01-02 15:00:00,laptop,39.089529345514954,41
2023-01-02 16:00:00,laptop,25.903466380032725,39
2023-01-02 17:00:00,laptop,29.258567990398124,39
2023-01-02 18:00:00,laptop,38.135944187525546,2
2023-01-02 19:00:00,laptop,32.267829289953376,39
2023-01-02 20:00:00,laptop,35.34285573885405,44
2023-01-02 21:00:00,laptop,35.9457601109446,7
2023-01-02 22:00:00,laptop,46.00228012869346,50
2023-01-02 23:00:00,laptop,40.436270531155046,37
2023-01-03 00:00:00,laptop,53.88479282028746,42
2023-01-03 01:00:00,laptop,67.91660149503488,27
2023-01-03 02:00:00,laptop,73.08234921672674,5
