timestamp,activity,data_transfer_mb,energy_consumption_wh
2023-01-01 00:00:00,streaming,1973.6299752705077,0.19110149091029024
2023-01-01 01:00:00,streaming,1882.8124428160372,0.27020824753225686
2023-01-01 02:00:00,streaming,2302.53737130288,0.20241223611075698
2023-01-01 03:00:00,streaming,3225.093456965868,0.2482920257010828
2023-01-01 04:00:00,streaming,3026.3380329055453,0.3165775514941824
2023-01-01 05:00:00,streaming,2952.618312105378,0.25273429971996086
2023-01-01 06:00:00,streaming,3121.622606809066,0.34626136744327946
2023-01-01 07:00:00,streaming,2792.701429512644,0.23895619567444604
2023-01-01 08:00:00,streaming,3136.806452182871,0.27070976019882753
2023-01-01 09:00:00,streaming,2382.095116855803,0.30923238085811267
2023-01-01 10:00:00,streaming,2912.356413992602,0.2798044838785386
2023-01-01 11:00:00,streaming,2080.9410700039134,0.2001253152455607
2023-01-01 12:00:00,streaming,1644.2609898236435,0.23705671321521882
2023-01-01 13:00:00,streaming,1663.8645262418838,0.1842772737611247
2023-01-01 14:00:00,streaming,1688.2162795746508,0.13786127222505917
2023-01-01 15:00:00,streaming,1294.3589793519732,0.14020505522462454
2023-01-01 16:00:00,streaming,1054.7642600054494,0.10917358993662804
2023-01-01 17:00:00,streaming,907.502666286164,0.11745407341973482
2023-01-01 18:00:00,streaming,1092.4749804846979,0.09892015693659657
2023-01-01 19:00:00,streaming,1114.6190648966929,0.11424387309792461
2023-01-01 20:00:00,streaming,950.4332307876538,0.11472208981138525
2023-01-01 21:00:00,streaming,1171.0868963234307,0.12969259815487236
2023-01-01 22:00:00,streaming,1359.1963709456713,0.1457007333860161
2023-01-01 23:00:00,streaming,1408.7766308518744,0.15179361737634983
2023-01-02 00:00:00,streaming,2256.3572654459617,0.16783380330859218
2023-01-02 01:00:00,streaming,2552.660398983781,0.2437651844252698
2023-01-02 02:00:00,streaming,2327.3459927297013,0.2646595871016644
2023-01-02 03:00:00,streaming,2856.6070622865236,0.24260215434678448
2023-01-02 04:00:00,streaming,3421.7856494815287,0.2650624586905637
2023-01-02 05:00:00,streaming,3356.496766005123,0.3140921360049322
2023-01-02 06:00:00,streaming,2512.868794586109,0.35429894111317084
2023-01-02 07:00:00,streaming,3521.5499107508654,0.33479778338535643
2023-01-02 08:00:00,streaming,2910.71786554071,0.3245198854627897
2023-01-02 09:00:00,streaming,2504.262473756115,0.2898057928164967
2023-01-02 10:00:00,streaming,2036.8842057529046,0.2742961305134377
2023-01-02 11:00:00,streaming,2166.39545259016,0.20676796711076847
2023-01-02 12:00:00,streaming,2105.5019658100287,0.21979383127417007
2023-01-02 13:00:00,streaming,1411.5471167167113,0.1989101513414879
2023-01-02 14:00:00,streaming,1221.7579261889634,0.1633242412154752
2023-01-02 15:00:00,streaming,1304.4398852801107,0.151300523421928
2023-01-02 16:00:00,streaming,1021.6362855211902,0.09110937215065355
2023-01-02 17:00:00,streaming,860.6790120491731,0.12052961678392703
